Income,LoanAmount,CreditScore,InterestRate,Education,EmploymentType,HasMortgage,HasDependents,LoanPurpose,Default
107954,100080,609,16.02,High School,Full-time,No,Yes,Home,1
25678,134161,705,21.18,Bachelor's,Full-time,Yes,No,Education,1
17550,227024,795,4.52,Bachelor's,Self-employed,No,No,Business,0
58724,92125,674,20.87,High School,Unemployed,Yes,No,Other,1
83406,139957,424,11.49,Master's,Unemployed,No,No,Home,0
54095,34835,770,15.15,High School,Full-time,No,Yes,Education,0
148252,210244,695,15.1,PhD,Full-time,Yes,Yes,Home,0
52904,223407,407,22.35,PhD,Unemployed,Yes,Yes,Auto,0
96822,230960,611,21.22,Master's,Unemployed,No,No,Home,0
131836,22699,657,24.04,PhD,Part-time,Yes,No,Business,0
37882,138883,398,7.92,PhD,Self-employed,Yes,Yes,Home,0
72464,129521,739,17.45,High School,Full-time,Yes,No,Other,0
15926,93334,777,5.95,PhD,Part-time,Yes,No,Home,0
38024,106385,763,2.12,PhD,Unemployed,Yes,Yes,Business,0
145071,31141,480,5.42,High School,Unemployed,No,Yes,Auto,0
19296,91875,826,24.32,Bachelor's,Part-time,No,Yes,Auto,0
146668,215629,517,5.24,High School,Full-time,No,Yes,Other,0
114043,198339,406,15.74,Master's,Part-time,No,Yes,Other,0
19459,29148,726,5.27,High School,Unemployed,Yes,Yes,Other,0
87178,85001,310,16.66,High School,Part-time,Yes,No,Education,0
94033,159468,815,18.74,Bachelor's,Full-time,Yes,No,Home,0
102312,17975,797,22.63,Bachelor's,Part-time,No,Yes,Other,0
107124,249352,317,18.13,High School,Full-time,No,No,Education,1
84774,120912,749,23.68,Master's,Self-employed,Yes,No,Home,0
127103,24296,626,20.05,Bachelor's,Self-employed,No,No,Education,0
101997,151516,708,18.06,Bachelor's,Self-employed,No,No,Other,0
47398,155340,334,15.39,PhD,Full-time,No,Yes,Other,1
106956,87462,434,23.19,PhD,Part-time,Yes,No,Education,0
59215,43116,381,6.84,Bachelor's,Full-time,No,No,Home,0
17751,152696,811,17.25,High School,Unemployed,No,Yes,Auto,0
135003,121490,552,2.36,Master's,Part-time,No,Yes,Other,0
109471,10327,347,14.48,High School,Self-employed,No,Yes,Home,0
93059,112026,413,18.55,PhD,Unemployed,Yes,Yes,Business,0
125786,239618,338,7.99,High School,Self-employed,Yes,No,Business,1
51396,84501,760,15.88,PhD,Self-employed,No,No,Auto,0
124296,120730,506,2.11,High School,Full-time,No,No,Home,0
62578,112054,740,21.07,PhD,Unemployed,No,No,Home,0
117968,156263,583,17.65,Bachelor's,Unemployed,Yes,No,Other,0
86549,135912,721,2.77,PhD,Part-time,No,Yes,Business,0
69939,193171,672,9.7,Master's,Full-time,No,Yes,Other,0
142442,229406,464,23.12,Bachelor's,Full-time,Yes,Yes,Other,0
142700,25379,494,4.33,High School,Self-employed,Yes,Yes,Home,0
38153,130923,470,4.67,High School,Full-time,Yes,Yes,Other,0
22082,61460,624,2.88,Bachelor's,Part-time,Yes,Yes,Education,0
91000,60224,730,11.66,Master's,Full-time,Yes,Yes,Business,0
101465,179673,366,24.03,PhD,Full-time,Yes,Yes,Education,1
100328,141500,831,13.95,PhD,Self-employed,No,Yes,Education,0
118126,211925,337,20.76,Bachelor's,Unemployed,No,No,Auto,0
99582,128774,671,15.25,High School,Self-employed,No,Yes,Education,0
117943,231285,337,14.66,Bachelor's,Self-employed,Yes,Yes,Education,1
70357,54481,610,6.22,Bachelor's,Self-employed,No,Yes,Other,0
70339,168776,528,13.64,High School,Unemployed,No,No,Other,0
67895,12136,308,8.46,PhD,Self-employed,No,No,Education,0
55996,174034,742,14.13,High School,Full-time,Yes,No,Home,0
45622,115010,716,9.58,Bachelor's,Unemployed,No,Yes,Education,0
77280,194794,383,3.98,High School,Full-time,No,No,Other,0
30010,67612,550,12.41,Bachelor's,Part-time,Yes,Yes,Business,0
56946,6451,645,6.98,Bachelor's,Full-time,No,Yes,Home,0
139771,118684,401,5.43,PhD,Part-time,Yes,Yes,Auto,0
74307,66303,433,19.1,High School,Unemployed,Yes,No,Other,0
97219,189133,663,15.05,Bachelor's,Self-employed,No,Yes,Business,0
26051,196898,367,23.65,Bachelor's,Self-employed,No,Yes,Home,0
65835,212489,650,3.88,Bachelor's,Self-employed,No,Yes,Other,0
148568,110680,578,21.22,Bachelor's,Unemployed,Yes,No,Business,0
117261,214837,596,4.1,PhD,Full-time,No,No,Education,0
39184,142572,533,9.43,High School,Full-time,No,Yes,Auto,0
90751,68033,419,8.73,Master's,Self-employed,No,No,Auto,0
15223,101750,593,24.41,Master's,Part-time,Yes,Yes,Home,0
75449,214723,466,13.31,PhD,Unemployed,No,No,Other,1
37451,43127,478,7.59,PhD,Self-employed,No,No,Other,0
87219,169189,401,17.73,PhD,Full-time,No,Yes,Business,0
51990,119516,412,4.27,High School,Self-employed,No,Yes,Home,0
97532,199859,375,11.31,PhD,Full-time,No,No,Other,0
84734,188838,655,7.85,High School,Unemployed,Yes,Yes,Auto,0
74090,205698,571,16.93,Bachelor's,Part-time,No,Yes,Home,1
138971,140639,666,23.26,PhD,Unemployed,No,No,Home,0
85129,180135,809,10.89,Bachelor's,Full-time,Yes,Yes,Auto,0
41931,5769,849,7.7,PhD,Self-employed,No,No,Other,0
140328,69711,826,23.01,High School,Unemployed,No,Yes,Auto,0
36135,185019,629,20.85,Master's,Self-employed,Yes,Yes,Business,0
19860,79822,788,14.71,Master's,Unemployed,Yes,Yes,Home,0
25382,143017,399,10.46,PhD,Full-time,Yes,No,Education,0
132284,178353,317,2.16,High School,Part-time,No,Yes,Education,0
149269,112616,376,16.21,Bachelor's,Self-employed,No,Yes,Other,0
18625,58127,643,12.12,Bachelor's,Unemployed,Yes,No,Other,1
109407,141444,332,14.12,PhD,Full-time,Yes,No,Home,0
112739,79572,475,21.33,Bachelor's,Part-time,Yes,Yes,Home,0
125253,99149,809,8.71,PhD,Self-employed,No,No,Auto,0
135815,117606,382,12.82,Bachelor's,Part-time,Yes,Yes,Home,0
109299,237498,720,23.51,High School,Part-time,Yes,No,Other,0
36766,238080,841,10.38,High School,Self-employed,Yes,No,Business,1
110938,104428,352,12.9,High School,Self-employed,No,No,Other,0
20550,195705,466,18.72,Master's,Self-employed,No,No,Education,0
99820,100491,328,11.46,PhD,Unemployed,Yes,No,Business,0
50325,194550,469,11.84,PhD,Part-time,Yes,No,Home,0
90691,58855,614,14.19,Master's,Part-time,No,Yes,Other,0
29876,203759,342,15.41,Master's,Unemployed,Yes,Yes,Education,0
120684,69420,642,5.6,PhD,Self-employed,No,No,Home,0
49119,138981,678,10.58,Bachelor's,Part-time,No,No,Education,0
127186,91246,806,6.69,Master's,Self-employed,Yes,No,Business,0
23764,78444,315,24.61,Bachelor's,Part-time,Yes,No,Auto,0
148711,221638,477,19.44,Master's,Full-time,Yes,Yes,Education,0
38051,210838,595,4.98,High School,Unemployed,Yes,Yes,Home,0
146321,148088,304,18.69,PhD,Part-time,Yes,No,Education,1
44991,63637,312,7.54,PhD,Full-time,No,Yes,Home,0
27623,71510,680,17.82,PhD,Full-time,Yes,No,Business,0
58540,127266,476,15.66,Bachelor's,Part-time,Yes,Yes,Auto,0
51719,248465,339,9.41,Master's,Unemployed,No,No,Business,0
34638,136472,754,20.06,Master's,Part-time,No,Yes,Auto,0
49164,162916,530,15.52,Bachelor's,Self-employed,Yes,Yes,Education,0
139946,184340,499,19.53,Master's,Self-employed,Yes,Yes,Education,0
83151,234323,324,9.38,Master's,Full-time,No,No,Auto,0
60484,116501,546,22.56,High School,Part-time,No,Yes,Other,0
56029,237121,518,22.24,Master's,Part-time,No,No,Other,0
127576,205024,461,11.9,Master's,Full-time,Yes,No,Home,0
16945,167105,396,5.78,PhD,Full-time,Yes,No,Auto,0
126029,11864,787,10.72,Master's,Full-time,Yes,No,Education,0
92790,52133,815,14.88,PhD,Self-employed,No,No,Education,0
94495,194108,626,18.03,Master's,Self-employed,Yes,No,Education,0
60298,97181,399,4.21,PhD,Part-time,No,No,Business,0
21718,150488,816,7.83,Bachelor's,Full-time,No,Yes,Home,0
17957,64185,659,24.28,PhD,Unemployed,No,No,Auto,0
110964,63551,641,12.37,Master's,Self-employed,No,Yes,Auto,0
22881,151191,823,12.17,Bachelor's,Full-time,No,No,Auto,0
27633,130243,518,23.74,PhD,Self-employed,Yes,No,Home,0
122515,180859,698,3.4,Bachelor's,Full-time,Yes,No,Other,0
129391,222103,402,2.92,High School,Unemployed,No,No,Auto,0
118282,106919,718,13.88,PhD,Self-employed,Yes,Yes,Education,0
30370,170883,648,9.49,Master's,Unemployed,No,Yes,Home,0
100822,249620,592,7.93,High School,Self-employed,Yes,No,Education,0
143978,42768,559,12.47,High School,Self-employed,No,No,Education,0
98252,76613,586,21.6,Master's,Full-time,No,No,Education,0
83488,73238,324,6.3,Bachelor's,Self-employed,Yes,Yes,Education,0
90093,124701,331,4.39,PhD,Self-employed,No,No,Home,0
147188,136447,517,7.01,High School,Part-time,Yes,No,Education,0
109647,130258,644,8.12,Master's,Part-time,No,No,Auto,0
123690,163015,435,23.05,Master's,Full-time,Yes,No,Auto,0
93229,196998,677,13.72,Bachelor's,Self-employed,No,No,Business,0
111552,46936,777,7.28,Master's,Full-time,No,No,Education,0
133523,157184,569,19.32,PhD,Full-time,No,Yes,Auto,0
138123,129240,773,17.53,Master's,Self-employed,Yes,Yes,Home,0
50597,24961,399,24.8,Master's,Full-time,No,Yes,Home,0
113145,74341,598,14.59,High School,Full-time,Yes,No,Education,0
95299,81939,444,3.23,PhD,Part-time,No,Yes,Home,0
46626,140364,406,3.55,PhD,Full-time,Yes,No,Home,0
75794,14788,552,10.96,High School,Full-time,No,No,Home,0
125986,138424,745,14.46,High School,Full-time,No,Yes,Auto,1
33131,71783,422,13.99,Bachelor's,Self-employed,Yes,Yes,Other,0
32886,86815,341,19.71,Bachelor's,Unemployed,Yes,Yes,Auto,0
110748,196239,379,21.51,High School,Self-employed,Yes,Yes,Education,0
64784,123091,672,17.2,Master's,Part-time,Yes,No,Home,0
59929,182885,691,17.82,Bachelor's,Unemployed,No,No,Education,0
126702,50493,589,17.21,Bachelor's,Full-time,Yes,Yes,Business,0
40949,89073,371,3.69,Bachelor's,Self-employed,No,Yes,Education,0
80939,97406,715,16.61,Master's,Full-time,Yes,No,Business,0
19553,179459,364,2.72,Master's,Self-employed,Yes,Yes,Other,0
68103,121907,681,8.24,Master's,Part-time,No,No,Other,0
61012,146528,423,24.35,Bachelor's,Self-employed,No,No,Business,0
83269,16848,747,7.24,Master's,Self-employed,Yes,Yes,Home,0
66861,119251,839,20.1,PhD,Unemployed,No,Yes,Home,0
94001,186700,808,9.97,High School,Full-time,Yes,No,Business,1
90026,85781,728,19.95,Bachelor's,Unemployed,Yes,No,Education,0
20013,227242,730,21.93,PhD,Part-time,No,Yes,Business,0
116949,42529,662,23.12,PhD,Full-time,Yes,Yes,Business,0
43470,188375,490,13.53,Master's,Full-time,Yes,Yes,Business,0
64544,138247,839,14.52,High School,Unemployed,Yes,Yes,Business,0
37722,220616,473,9.85,PhD,Part-time,Yes,Yes,Other,0
126552,174472,812,24.21,Master's,Unemployed,No,No,Other,0
147122,139900,832,6.21,PhD,Part-time,Yes,No,Home,0
96299,51752,455,15.43,PhD,Self-employed,Yes,No,Auto,0
76596,161843,374,19.31,Bachelor's,Full-time,Yes,No,Other,1
91446,65709,653,21.77,Bachelor's,Part-time,Yes,Yes,Auto,0
67640,17812,402,14.97,High School,Part-time,Yes,No,Business,0
135974,172423,518,13.47,PhD,Full-time,No,Yes,Home,0
103486,21859,676,8.22,PhD,Unemployed,Yes,Yes,Home,0
114729,152289,309,3.84,Bachelor's,Self-employed,No,No,Business,0
144351,153788,814,16.42,Master's,Self-employed,Yes,No,Other,1
137136,196226,695,19.07,Bachelor's,Unemployed,Yes,Yes,Education,0
82032,25481,465,4.79,PhD,Self-employed,Yes,No,Education,0
120816,49277,748,18.69,Bachelor's,Self-employed,Yes,No,Home,0
138579,181181,535,5.48,Master's,Part-time,Yes,Yes,Auto,0
123224,129392,617,6.27,PhD,Unemployed,No,No,Business,0
69372,182126,376,6.17,Master's,Unemployed,No,No,Home,0
122296,187785,553,7.64,PhD,Full-time,Yes,Yes,Other,0
37962,143441,679,17.12,Master's,Full-time,No,Yes,Education,1
46335,240597,453,4.58,High School,Part-time,Yes,Yes,Auto,0
111010,220554,475,22.62,Bachelor's,Self-employed,No,Yes,Home,0
109740,243284,711,9.63,Master's,Part-time,Yes,No,Auto,0
47552,212203,842,6.91,High School,Part-time,Yes,No,Auto,0
18906,194770,635,10.52,Bachelor's,Self-employed,Yes,No,Auto,1
28117,212209,695,22.09,Bachelor's,Unemployed,Yes,No,Other,1
144737,114935,497,6.16,Master's,Unemployed,No,No,Home,0
101388,219183,493,13.85,PhD,Full-time,Yes,No,Education,0
15954,103009,774,24.54,Master's,Unemployed,No,Yes,Other,0
80726,106098,477,9.76,Master's,Part-time,Yes,Yes,Education,0
94405,99918,481,14.82,PhD,Self-employed,Yes,No,Business,0
24764,161647,670,11.14,PhD,Self-employed,Yes,No,Other,0
99528,40005,374,7.11,Bachelor's,Unemployed,Yes,No,Auto,0
66737,20903,413,10.26,PhD,Unemployed,No,No,Business,1
111570,105113,551,14.17,PhD,Full-time,No,No,Auto,1
21073,52020,773,5.07,Master's,Part-time,Yes,No,Business,1
32500,224408,634,13.39,Master's,Full-time,No,Yes,Home,0
140592,152242,737,12.72,Bachelor's,Part-time,Yes,No,Home,0
89505,80340,634,20.02,PhD,Self-employed,No,No,Home,0
84901,120786,761,20.53,Master's,Full-time,Yes,No,Business,0
33660,227356,782,2.64,Bachelor's,Part-time,Yes,Yes,Home,0
112529,145723,610,14.42,Master's,Full-time,Yes,No,Home,0
54693,169555,513,4.31,PhD,Unemployed,No,No,Auto,0
81801,6871,646,16.32,Bachelor's,Unemployed,No,Yes,Home,0
141579,218850,360,7.12,Bachelor's,Unemployed,Yes,No,Other,0
93300,211605,456,10.35,Master's,Self-employed,No,No,Other,0
108825,245290,653,2.85,High School,Part-time,Yes,Yes,Other,0
80680,175937,732,14.5,Bachelor's,Unemployed,Yes,No,Other,1
53557,239096,789,16.37,Bachelor's,Full-time,Yes,No,Education,0
149975,156294,611,13.9,PhD,Part-time,Yes,Yes,Business,0
96778,68210,536,17.97,Master's,Self-employed,Yes,Yes,Auto,0
99026,123150,497,15.17,High School,Part-time,Yes,Yes,Home,0
33014,118574,344,19.84,Master's,Full-time,Yes,No,Business,0
125194,154168,536,10.27,High School,Self-employed,No,No,Business,0
73542,216167,405,16.54,PhD,Full-time,Yes,No,Other,0
96539,243212,837,2.25,Master's,Full-time,Yes,Yes,Other,0
78631,16521,826,24.81,Master's,Full-time,No,No,Education,0
95084,204381,723,23.45,High School,Self-employed,No,Yes,Other,0
70614,112869,506,8.09,High School,Part-time,Yes,Yes,Education,1
70279,13832,379,7.92,Master's,Self-employed,Yes,No,Home,0
38176,52978,370,15.49,Bachelor's,Self-employed,Yes,No,Business,0
70467,49877,690,13.8,Bachelor's,Self-employed,No,No,Education,0
86990,98898,521,2.4,High School,Unemployed,No,No,Business,0
97194,6756,479,10.2,Bachelor's,Part-time,Yes,No,Education,0
34681,90593,678,2.91,Bachelor's,Self-employed,No,No,Home,0
94038,166144,715,4.73,Bachelor's,Full-time,No,Yes,Auto,0
96803,113636,739,10.26,Bachelor's,Unemployed,No,Yes,Auto,0
66280,130725,495,18.09,PhD,Unemployed,No,No,Other,0
117886,24397,679,4.64,Bachelor's,Self-employed,No,Yes,Business,0
62619,199692,414,16.92,Bachelor's,Self-employed,Yes,No,Home,0
37915,154326,325,2.49,High School,Self-employed,Yes,Yes,Other,0
64266,219314,320,14.87,High School,Part-time,Yes,Yes,Business,0
146364,243719,555,2.37,High School,Part-time,No,No,Business,0
39476,74426,718,18.14,High School,Part-time,Yes,Yes,Auto,0
86461,128874,602,20.58,Master's,Self-employed,Yes,Yes,Education,0
